"yyyymm"	"Cnsmr"	"Manuf"	"HiTec"	"Hlth"	"Other"	"b.m"	"ntis"	"infl"
196404	1.43	0.6	-1.02	-1.42	0.29	0.5253031069	0.0207679582	0
196405	1.85	1.69	0.86	0.53	2.43	0.5190357804	0.0211792722	0
196406	1.64	1.1	3.03	0.59	1.38	0.5122068551	0.0205029394	0.003236246
196407	3.32	2.71	-1.91	4.76	1.34	0.5063607181	0.0213126047	0.0032258065
196408	0.65	-1.18	-2.02	-4.22	-3.11	0.5079429444	0.0206965832	-0.0032154341
196409	3.73	3.61	-0.15	2.73	4.09	0.4865371214	0.0204030634	0.0032258065
196410	0.59	1.3	-0.93	2.88	1.84	0.4878132588	0.0201157102	0
196411	0.25	0.85	-1.42	2.17	-1.78	0.4865037753	0.0191663907	0.0032154341
196412	0.92	-0.36	1.83	4.38	-1.75	0.4872273003	0.0230944256	0
196501	4.23	3.57	3.17	7.66	4.75	0.4717231907	0.0179028876	0
196502	0.44	0.24	1.38	2.42	2.53	0.4713994776	0.0148223569	0
196503	0.25	-1.58	-1.17	-0.92	-0.27	0.469489905	0.0191333633	0.0032051282
196504	6.19	2.34	3.51	2.98	2.2	0.4525593347	0.0147216866	0.0031948882
196505	-1.91	-0.21	1.79	-1.24	-1.72	0.4546642848	0.0162441642	0
196506	-6.2	-4.42	-4.81	-5.31	-6.96	0.4808589565	0.0175502789	0.0063694268
196507	1.21	1.77	1.28	3.95	3.39	0.4733821762	0.0156266107	0
196508	3.24	2.43	3.27	6.29	5.07	0.4673608778	0.0156003306	0
196509	3.31	3.5	2.93	2.24	1.83	0.4485374713	0.0168945537	0
196510	3.94	2.96	1.08	3.23	4.23	0.4344205991	0.0174633812	0.003164557
196511	-1.44	0.7	-1.03	3.8	3.87	0.4408953111	0.0207625782	0
196512	1.27	1.62	-1.19	3.83	3.48	0.4306378062	0.0208371829	0.0031545741
196601	-0.16	1.17	-0.02	2.74	5.26	0.4243983284	0.0202782971	0
196602	-1.28	-2.18	2.71	-1.55	2.07	0.4384960447	0.0200256306	0.0062893082
196603	-2.74	-1.61	-2.86	-1.6	-2.85	0.4901759356	0.0167876407	0.003125
196604	0.82	2.58	4.54	-0.02	3.04	0.4854982435	0.0156356731	0.0062305296
